Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;Pepinillos Barbera;;;1,00 ;180,00 ;58,67 ;148,76 ;153,55 
;Perejil Alicante;;;1,00 ;70,00 ;37,58 ;57,85 ;53,94 
;petaca borso cafe al cognac  200cm;;;5,00 ;400,00 ;192,80 ;330,58 ;71,46 
;Picadillo de carne Paladini;;;12,00 ;1.080,00 ;544,00 ;892,56 ;64,07 
;Pickles Barbera 330g;;;1,00 ;250,00 ;129,00 ;206,61 ;60,16 
;pimenta negra molida La canasta 25g;;;3,00 ;270,00 ;145,05 ;223,14 ;53,84 
;pimenton estra  La canasta 25g;;;2,00 ;100,00 ;52,02 ;82,64 ;58,87 
;pipas semillas de girasol 150gr;;;2,00 ;400,00 ;218,00 ;330,58 ;51,64 
;Pochoclos adad 50g;;;1,00 ;85,00 ;45,66 ;70,25 ;53,85 
;polenta PRESTO PRONTA 500g;;;16,00 ;2.750,00 ;1.116,00 ;2.272,73 ;103,65 
;pure de papas instantaneo maggi 125 grs;;;7,00 ;840,00 ;300,79 ;694,22 ;130,80 
;Pure de Papas Knorr 125g;;;1,00 ;220,00 ;119,05 ;181,82 ;52,72 
;Pure De papas Knorr receta completa 125g;;;11,00 ;1.950,00 ;896,26 ;1.611,57 ;79,81 
;Pure de Tomate La Huerta grande 530g;;;40,00 ;5.350,00 ;2.696,00 ;4.421,49 ;64,00 
;pure de tomates la huerta chico 210g;;;45,00 ;3.570,00 ;1.720,25 ;2.950,41 ;71,51 
;queso;;;1.160,00 ;1.160,00 ;638,00 ;958,62 ;50,25 
;Queso rallado economico La Quesera;;;8,00 ;880,00 ;448,00 ;727,27 ;62,34 
;Queso Tremblay salame  190g;;;8,00 ;1.460,00 ;484,80 ;1.206,61 ;148,89 
;Queso untable Tremblay jamon  190g;;;15,00 ;2.890,00 ;1.314,00 ;2.388,43 ;81,77 
;Rollos de cocina cartabella;;;143,00 ;31.840,00 ;12.356,24 ;26.314,05 ;112,96 
;Romero  La canasta 20g;;;1,00 ;70,00 ;37,20 ;57,85 ;55,51 
;sabor en polvo alicante carne;;;2,00 ;60,00 ;32,00 ;49,59 ;54,96 
;sabor en polvo alicante crema y verdeo;;;6,00 ;180,00 ;96,00 ;148,76 ;54,96 
;sabor en polvo alicante verdura;;;23,00 ;730,00 ;368,00 ;603,31 ;63,94 
;sal fina celusal 500g;;;26,00 ;2.320,00 ;1.060,60 ;1.917,36 ;80,78 
;Sal fina dos anclas caja 500g;;;1,00 ;100,00 ;47,00 ;82,64 ;75,84 
;Sal Parrillera Celusal Entrefina 500g;;;5,00 ;300,00 ;103,30 ;247,93 ;140,01 
;Salchichas Paladini x 6;;;136,00 ;31.900,00 ;16.570,79 ;26.363,63 ;59,10 
