Artículo;Cantidad;Final;Costo;Neto;Margen;;;
;mirinda naranja 500cc;;;33,00 ;3.650,00 ;1.386,00 ;3.016,53 ;117,64 
;Papas pehuamar 180g;;;5,00 ;750,00 ;206,60 ;619,83 ;200,02 
;Paso de los Toros Pomelo 1500cc;;;86,00 ;18.770,00 ;7.533,60 ;15.512,40 ;105,91 
;Paso de los toros pomelo 250;;;89,00 ;5.200,00 ;2.013,64 ;4.297,52 ;113,42 
;Paso de los Toros Pomelo 269ml;;;46,00 ;4.420,00 ;2.281,60 ;3.560,89 ;56,07 
;Paso de los Toros Pomelo 500cc;;;66,00 ;7.030,00 ;1.869,12 ;5.809,92 ;210,84 
;paso de los toros pomelo sin azucar;;;38,00 ;7.600,00 ;3.800,00 ;6.280,99 ;65,29 
;paso de los toros pomelo sin azucar 1.5 lts;;;6,00 ;1.560,00 ;600,00 ;1.289,26 ;114,88 
;Paso de los Toros Tónica 1.500 cc;;;97,00 ;20.680,00 ;8.647,20 ;17.090,91 ;97,65 
;Pepsi 1.500cc;;;219,00 ;46.760,00 ;16.824,40 ;38.644,63 ;129,69 
;Pepsi 2.25cc;;;36,00 ;11.870,00 ;5.440,32 ;9.809,92 ;80,32 
;Pepsi 250 cc;;;163,00 ;9.210,00 ;3.480,88 ;7.611,57 ;118,67 
;Pepsi 500cc;;;278,00 ;30.430,00 ;12.251,46 ;25.148,76 ;105,27 
;pepsi black 1500 cc;;;95,00 ;17.010,00 ;8.322,00 ;14.057,85 ;68,92 
;Pepsi zero 250 cc;;;73,00 ;4.140,00 ;1.596,48 ;3.421,49 ;114,31 
;pepsi zero azucar 500 cc;;;57,00 ;6.030,00 ;1.614,24 ;4.983,47 ;208,72 
;Pepsi zero lata;;;23,00 ;2.350,00 ;498,41 ;1.942,15 ;289,67 
;Pepsi/7UP/Mirinda/Paso 350 cc;;;1,00 ;50,00 ;14,54 ;39,98 ;174,99 
Total Rubro pepsi;2.248,00 ;338.310,00 ;126.606,94 ;279.309,04 ;120,61 ;;;
perfumeria (16);;;;;;;;
;acondicionador dove oleo nutricion 200 ml;;;4,00 ;1.190,00 ;630,00 ;983,47 ;56,11 
;acondicionador sedal crema balance 190ml;;;2,00 ;400,00 ;208,00 ;330,58 ;58,93 
;Ala matic 800;;;1,00 ;220,00 ;91,00 ;181,82 ;99,80 
;Ala regular lavado a mano 800g;;;2,00 ;560,00 ;302,00 ;462,81 ;53,25 
;Alikal sobre;;;55,00 ;4.600,00 ;2.179,55 ;3.801,65 ;74,42 
;AXE black desodorante 48hs;;;4,00 ;1.155,00 ;469,00 ;954,55 ;103,53 
;axe collision  48hs;;;2,00 ;540,00 ;298,00 ;446,28 ;49,76 
;Axe gold;;;1,00 ;180,00 ;120,00 ;148,76 ;23,97 
;AXE musk desodorante;;;2,00 ;590,00 ;249,00 ;487,60 ;95,82 
;Ayudin Clasica 1l;;;29,00 ;3.880,00 ;1.689,00 ;3.206,61 ;89,85 
;Bic Comfort 3 Prestobarba;;;4,00 ;370,00 ;191,28 ;305,79 ;59,86 
;Broches 12 unidades el coloso;;;1,00 ;110,00 ;50,00 ;90,91 ;81,82 
;Cepillo de dientes closeup;;;9,00 ;1.220,00 ;647,19 ;1.008,26 ;55,79 
;Cif Active gel limon 300 ml;;;3,00 ;540,00 ;279,00 ;446,28 ;59,96 
;cif active gel limon 300ml;;;6,00 ;890,00 ;468,40 ;735,54 ;57,03 
;cif active gel limon verde 300ml;;;2,00 ;360,00 ;196,80 ;297,52 ;51,18 
;Close Up Dentifrico 90g menta;;;7,00 ;1.660,00 ;536,62 ;1.371,90 ;155,66 
;close up dentrifico accion profunda 99g;;;4,00 ;940,00 ;486,20 ;776,86 ;59,78 
;Curitas Elasticas indivual;;;2,00 ;6,00 ;3,00 ;4,96 ;65,29 
;Curitas elasticas paquete;;;31,00 ;2.780,00 ;936,87 ;2.297,52 ;145,23 
;desodorante de ambiente glade CARISIAS ALGODON;;;1,00 ;350,00 ;172,00 ;289,26 ;68,17 
;desodorante dove aroma de pera y aloe 48h;;;1,00 ;320,00 ;170,30 ;264,46 ;55,29 
;Desodorante Dove granada y verbena;;;2,00 ;420,00 ;212,12 ;347,11 ;63,64 
;desodorante dove original;;;10,00 ;3.580,00 ;1.692,00 ;2.958,68 ;74,86 
;desodorante rexona men hombre 72hs;;;8,00 ;2.430,00 ;1.064,00 ;2.008,26 ;88,75 
;desodorante rexona men V8 72hs;;;3,00 ;1.100,00 ;545,88 ;909,09 ;66,54 
;desodorante rexona nutritive 72hs;;;1,00 ;340,00 ;188,00 ;280,99 ;49,46 
;Detergente Ala Plus con colageno 750;;;1,00 ;120,00 ;59,04 ;99,17 ;67,98 
;Detergente Ala Plus Frutas Citricas 750ml;;;1,00 ;150,00 ;59,50 ;123,97 ;108,35 
;detergente ala ultra 300ml;;;1,00 ;100,00 ;54,00 ;82,64 ;53,05 
;detergente ala ultra limon 300ml;;;1,00 ;100,00 ;54,00 ;82,64 ;53,05 
;detergente cif active gel menta y limon 300cc;;;3,00 ;300,00 ;162,00 ;247,93 ;53,05 
;Dove original rollon;;;2,00 ;680,00 ;370,00 ;561,98 ;51,89 
;el coloso esponja acero;;;14,00 ;840,00 ;308,00 ;694,22 ;125,39 
;espirales raid x 4 unidades;;;4,00 ;180,00 ;48,60 ;148,76 ;206,09 
;espuma de afeitar gillette;;;2,00 ;250,00 ;0,00 ;250,00 ;0,00 
;Gillette Prestobarba 3;;;1,00 ;100,00 ;24,80 ;82,64 ;233,24 
;Gillette Prestobarba x2;;;9,00 ;1.310,00 ;432,00 ;1.082,64 ;150,61 
;Glade Caricias de bebe 299g;;;1,00 ;230,00 ;128,00 ;190,08 ;48,50 
;jabon de tocador suave flores blancas x3;;;1,00 ;120,00 ;65,00 ;99,17 ;52,57 
;jabon de tocador suave pepino y aloe x3;;;2,00 ;240,00 ;130,00 ;198,35 ;52,57 
;jabon en polvo ala;;;3,00 ;300,00 ;126,00 ;241,93 ;92,01 
;jabon en polvo ala  matric 800g;;;5,00 ;1.400,00 ;757,30 ;1.147,03 ;51,46 
;jabon liquido Suave frutos rojos 220ml;;;2,00 ;160,00 ;88,00 ;132,23 ;50,26 
;jabon lux flor de vainilla 125g;;;2,00 ;160,00 ;0,00 ;160,00 ;0,00 
;Jabon Lux Jazmin 125g;;;4,00 ;320,00 ;111,92 ;264,46 ;136,30 
;jabon lux lirio azul 125g;;;3,00 ;340,00 ;96,00 ;280,99 ;192,70 
;LIFEBUOY jabon liquido para manos sache 220ml;;;3,00 ;360,00 ;165,84 ;297,52 ;79,40 
;Lina con alas;;;59,00 ;6.870,00 ;2.830,95 ;5.531,41 ;95,39 
;Lisoform original 300g 60cm3 gratis;;;3,00 ;840,00 ;462,00 ;694,22 ;50,26 
;Minora II plus;;;10,00 ;800,00 ;148,70 ;661,16 ;344,62 
;Off crema x 60g;;;1,00 ;120,00 ;65,28 ;99,17 ;51,92 
;OFF Family Repelente Aerosol 127g;;;3,00 ;1.050,00 ;391,71 ;867,77 ;121,53 
;Pantene acondicionador sobre 10ml;;;5,00 ;100,00 ;51,05 ;82,64 ;61,89 
;Pantene shampoo;;;20,00 ;400,00 ;220,20 ;330,58 ;50,13 
;Pañuelos Candela;;;66,00 ;3.240,00 ;1.476,00 ;2.677,69 ;81,41 
;Pañuelos Descartables campanita;;;47,00 ;2.350,00 ;1.087,11 ;1.942,15 ;78,65 
;Pañuelos Elite;;;22,00 ;660,00 ;357,72 ;545,45 ;52,48 
;Pasta ORAL B 70g;;;2,00 ;300,00 ;158,70 ;247,93 ;56,23 
;patrichs air fragance;;;1,00 ;210,00 ;39,00 ;173,55 ;345,01 
;Patrichs Deodorant;;;2,00 ;420,00 ;170,24 ;347,11 ;103,89 
;Perfumina Poett Bebe 900cm;;;7,00 ;1.150,00 ;375,90 ;950,41 ;152,84 
;perfumina suiza limon 900ml;;;4,00 ;400,00 ;209,20 ;330,58 ;58,02 
;perfumina suiza pinos patagonicos 900ml;;;2,00 ;200,00 ;104,00 ;165,29 ;58,93 
;prestobarba 2 hojas BIC;;;3,00 ;180,00 ;79,80 ;180,00 ;125,56 
;Prestobarba gillette 3 filos x2;;;2,00 ;980,00 ;542,30 ;809,92 ;49,35 
;Rexona active emotion;;;2,00 ;740,00 ;357,00 ;611,57 ;71,31 
;Rexona Cotton dry 72hs;;;3,00 ;1.020,00 ;504,00 ;842,98 ;67,26 
;Rexona cotton jabon de tocador  125g;;;7,00 ;770,00 ;399,00 ;636,36 ;59,49 
;rexona deo men xtraccol  72hs;;;1,00 ;360,00 ;189,00 ;297,52 ;57,42 
;Rexona Futbol fanatics;;;1,00 ;360,00 ;195,12 ;297,52 ;52,48 
;rexona mujer invisible 72hs;;;2,00 ;680,00 ;368,00 ;561,98 ;52,71 
;Rexona Odorono 60g;;;5,00 ;850,00 ;442,10 ;702,48 ;58,90 
;schick xtreme 3;;;3,00 ;350,00 ;0,00 ;350,00 ;0,00 
;sedal acondicionador bomba detox 340ml;;;3,00 ;1.020,00 ;336,03 ;842,98 ;150,86 
;sedal acondicionador ceramidas 340ml;;;4,00 ;1.235,00 ;471,20 ;1.020,66 ;116,61 
;Sedal Ceramidas 190 ml Acondicionador;;;4,00 ;830,00 ;440,00 ;685,95 ;55,90 
;Sedal Ceramidas 190ml Shampoo;;;2,00 ;400,00 ;220,00 ;330,58 ;50,26 
;Sedal ceramides acondicionar;;;6,00 ;1.320,00 ;691,20 ;1.090,91 ;57,83 
;sedal shampoo acido hialuronico + vitamina A 190ml;;;2,00 ;420,00 ;220,00 ;347,11 ;57,78 
;Sedal shampoo en sobre;;;21,00 ;420,01 ;147,00 ;347,12 ;136,14 
;Sedal shampoo restauracion instantanea 190ml;;;3,00 ;660,00 ;243,00 ;545,45 ;124,47 
;sedal shampoo restauracion instantanea 340ml;;;5,00 ;1.570,00 ;692,21 ;1.297,52 ;87,45 
;shampoo sedal co-creations 190ml;;;2,00 ;440,00 ;226,00 ;363,64 ;60,90 
;shampoo sedal crema balance;;;1,00 ;130,00 ;65,00 ;107,44 ;65,29 
;shampoo sedal crema balance  340ml;;;2,00 ;560,00 ;270,00 ;462,81 ;71,41 
;Uvasal sobre;;;1,00 ;30,00 ;12,23 ;24,79 ;102,73 
;Vivere clásico 810ml;;;4,00 ;680,00 ;312,00 ;561,98 ;80,12 
;Vivere clásico 900ml  suavizante para ropa;;;3,00 ;720,00 ;391,26 ;595,04 ;52,08 
Total Rubro perfumeria;608,00 ;74.326,01 ;33.276,42 ;61.427,32 ;84,60 ;;;
pilas (19);;;;;;;;
; Energizer AAA por unidad;;;117,00 ;17.765,00 ;8.869,58 ;14.681,81 ;65,53 
;energizer  AA  x4;;;1,00 ;220,00 ;119,00 ;181,82 ;52,79 
;Energizer A23 x 1;;;1,00 ;130,00 ;68,00 ;107,44 ;58,00 
;Energizer AA;;;138,00 ;15.810,00 ;7.170,30 ;13.066,11 ;82,23 
;La Gotita 2ml;;;20,00 ;4.100,00 ;1.780,00 ;3.388,43 ;90,36 
Total Rubro pilas;277,00 ;38.025,00 ;18.006,88 ;31.425,61 ;74,52 ;;;
preservativos (27);;;;;;;;
;Maxx superfino;;;4,00 ;640,00 ;324,00 ;528,93 ;63,25 
;preservativos tulipan clasico;;;6,00 ;1.200,00 ;570,42 ;991,74 ;73,86 
;preservativos tulipan control retardante;;;2,00 ;320,00 ;130,14 ;264,46 ;103,21 
;preservativos tulipan super fino;;;3,00 ;480,00 ;195,21 ;396,69 ;103,21 
;preservativos tulipan ultra fino;;;3,00 ;480,00 ;195,21 ;396,69 ;103,21 
;Prime Anatomicos;;;10,00 ;3.130,00 ;1.180,00 ;2.586,78 ;119,22 
;prime espermicida;;;26,00 ;8.115,00 ;1.912,00 ;6.706,61 ;250,76 
;prime extra lubricado;;;28,00 ;8.465,00 ;3.220,00 ;6.995,87 ;117,26 
;Prime Mega;;;4,00 ;1.060,00 ;248,00 ;876,03 ;253,24 
;Prime Retardante;;;15,00 ;5.060,00 ;1.890,00 ;4.181,82 ;121,26 
;Prime stronger;;;5,00 ;1.460,00 ;430,00 ;1.206,61 ;180,61 
;prime super fino;;;31,00 ;10.445,00 ;3.818,00 ;8.632,23 ;126,09 
;prime tachas;;;30,00 ;9.270,00 ;3.740,00 ;7.661,16 ;104,84 
;Prime texturado;;;45,00 ;14.170,00 ;5.430,00 ;11.710,74 ;115,67 
;Prime turbo;;;2,00 ;560,00 ;124,00 ;462,81 ;273,23 
;prime ultra fino;;;49,00 ;15.005,00 ;6.135,00 ;12.400,83 ;102,13 
;prime warming;;;7,00 ;2.030,00 ;434,00 ;1.677,69 ;286,56 
Total Rubro preservativos;270,00 ;81.890,00 ;29.975,98 ;67.677,69 ;125,77 ;;;
pritty (311);;;;;;;;
;Pritty 500cc;;;18,00 ;1.730,00 ;785,00 ;1.429,75 ;82,13 
;Pritty Limon 1.500cc;;;105,00 ;20.510,00 ;9.159,50 ;16.950,41 ;85,06 
;Pritty Limon 1000cc;;;62,00 ;9.010,00 ;4.583,30 ;7.446,28 ;62,47 
;soda Asunción sifon;;;1,00 ;80,00 ;40,00 ;66,12 ;65,29 
;Soda Saldan Sifon 2000 cc;;;1,00 ;60,00 ;33,05 ;49,59 ;50,04 
Total Rubro pritty;187,00 ;31.390,00 ;14.600,85 ;25.942,15 ;77,68 ;;;
quesos rallados (13);;;;;;;;
;Queso rallado Tremblay 40g;;;153,00 ;16.750,00 ;8.211,85 ;13.842,98 ;68,57 
Total Rubro quesos rallados;153,00 ;16.750,00 ;8.211,85 ;13.842,98 ;68,57 ;;;
quilmes (312);;;;;;;;
;Agua mineral Nesle Pureza Vital 2.5 L;;;4,00 ;600,00 ;304,00 ;495,87 ;63,11 
;Andes negra lata 473;;;23,00 ;3.680,00 ;1.558,48 ;3.041,32 ;95,15 
;Andes Roja 1 Litro;;;17,00 ;4.760,00 ;2.236,18 ;3.933,89 ;75,92 
;Andes roja lata 473;;;164,00 ;26.300,00 ;11.112,64 ;21.735,54 ;95,59 
;Andes Rubia lata 500;;;182,00 ;31.290,00 ;16.201,22 ;25.489,49 ;57,33 
;Brahma 970cc;;;195,00 ;50.930,00 ;21.450,00 ;42.090,91 ;96,23 
;Brahma lata 473ml;;;332,00 ;50.590,00 ;25.508,64 ;41.809,91 ;63,90 
;Budweiser 1L;;;28,00 ;6.890,00 ;3.223,36 ;5.694,21 ;76,65 
;Corona 330 ml CHICA;;;2,00 ;580,00 ;227,54 ;476,02 ;109,20 
;Corona 354 ml CHICA;;;59,00 ;12.750,00 ;6.574,67 ;10.439,18 ;58,78 
;Eco de los andes 500 c gas;;;11,00 ;1.320,00 ;704,00 ;1.090,91 ;54,96 
;Lata budweiser 500 cc;;;1,00 ;120,00 ;66,00 ;99,17 ;50,26 
;lata patagonia IPA 473 cc;;;122,00 ;21.815,00 ;8.830,00 ;17.397,75 ;97,03 
;lata quilmes stout x 473cc;;;69,00 ;9.490,00 ;4.130,99 ;7.842,97 ;89,86 
;Paso de los toros Tonica Lata 269ml;;;30,00 ;2.720,00 ;1.487,70 ;2.247,93 ;51,10 
;Patagonia 24.7 330 botella;;;28,00 ;5.250,00 ;2.380,00 ;4.338,84 ;82,30 
;Patagonia abrazo de oso lata;;;8,00 ;1.440,00 ;760,00 ;1.190,08 ;56,59 
;Patagonia Amber lager 730;;;23,00 ;7.900,00 ;3.174,00 ;6.528,93 ;105,70 
;Patagonia Amber Lager lata 473;;;22,00 ;3.965,00 ;1.588,18 ;3.276,86 ;106,33 
;Patagonia Bohemian Pilsener lata;;;4,00 ;720,00 ;380,00 ;595,04 ;56,59 
;Patagonia IPA 24.7 710;;;77,00 ;25.130,00 ;10.626,00 ;20.768,59 ;95,45 
;Patagonia Vera IPA 710;;;9,00 ;2.610,00 ;1.296,00 ;2.157,02 ;66,44 
;Quilmes Cristal;;;277,00 ;71.610,00 ;24.722,25 ;59.181,82 ;139,39 
;Quilmes Lata 473cc;;;793,00 ;125.090,00 ;61.975,00 ;103.380,16 ;66,81 
;Quilmes Roja Lata;;;5,00 ;700,00 ;378,00 ;578,51 ;53,05 
;Schweppes Pomelo zero 2L retornable;;;7,00 ;2.170,00 ;616,00 ;1.793,39 ;191,13 
;Stella Artois 975cc;;;133,00 ;51.260,00 ;25.270,00 ;42.363,64 ;67,64 
;Stella Artois lata 473 cm;;;373,00 ;80.550,00 ;42.160,00 ;66.570,25 ;57,90 
;stella noire lata 269cm;;;14,00 ;1.260,00 ;532,00 ;1.041,32 ;95,74 
;Vino CircusMalbec classic;;;4,00 ;1.880,00 ;1.000,00 ;1.553,72 ;55,37 
;Warsteiner Lata 473cc;;;97,00 ;19.060,00 ;9.221,00 ;15.481,11 ;67,89 
Total Rubro quilmes;3.113,00 ;624.430,00 ;289.693,85 ;514.684,36 ;77,66 ;;;
sandwich (1.500);;;;;;;;
;Bandeja x12 simples Migamax;;;143,00 ;37.400,00 ;15.830,00 ;30.909,09 ;95,26 
;Carlitos Migamax;;;97,00 ;27.585,00 ;11.050,00 ;22.797,52 ;106,31 
;Pack x4 Triples Migamax;;;159,00 ;37.520,00 ;13.419,76 ;31.008,26 ;131,06 
;Pebete Salame y Queso Migamax;;;414,00 ;82.020,00 ;35.993,90 ;67.785,13 ;88,32 
;Triple Grande Migamax;;;520,00 ;123.685,00 ;39.827,60 ;102.219,01 ;156,65 
;Triple Miga Chico Migamax;;;317,00 ;63.760,00 ;25.352,00 ;52.694,22 ;107,85 
Total Rubro sandwich;1.650,00 ;371.970,00 ;141.473,26 ;307.413,22 ;117,29 ;;;
snack (306);;;;;;;;
;ALEM MALTEADAS CON QUESO;;;20,00 ;2.200,00 ;684,00 ;2.200,00 ;221,64 
;Dos Hermanos Arroz con cebolla 80g;;;2,00 ;200,00 ;102,46 ;165,29 ;61,32 
;Kesitas  75g;;;6,00 ;600,00 ;335,82 ;495,87 ;47,66 
;Kesitas estuche 125g;;;33,00 ;6.325,00 ;2.346,96 ;5.227,27 ;122,73 
;lays  sabor limon 85g;;;20,00 ;4.840,00 ;1.900,00 ;4.000,00 ;110,53 
;Lenguitas Maria Lujan Savores Varios;;;102,00 ;15.830,00 ;7.413,60 ;13.082,65 ;76,47 
;Mani Con Cascara 200gr el buho;;;94,00 ;17.180,00 ;7.959,00 ;14.198,35 ;78,39 
;Mani Japones Pehuamar maniax clasico 110g;;;21,00 ;4.445,00 ;1.943,00 ;3.673,55 ;89,07 
;Mani Pehuamar Japones 145g Jamon;;;3,00 ;420,00 ;228,87 ;347,11 ;51,66 
;mani pehuamar pelado 150gr;;;75,00 ;20.960,00 ;8.951,87 ;17.322,31 ;93,50 
;Manitoon Clasico165g;;;5,00 ;800,00 ;420,00 ;661,16 ;57,42 
;MANITOON EXTREMO JALAPEÑO 140g;;;8,00 ;1.280,00 ;672,00 ;1.057,85 ;57,42 
;Manitoon jamón 160g;;;26,00 ;4.590,00 ;2.275,00 ;3.793,39 ;66,74 
;Manitoon pizza 70g;;;41,00 ;3.680,00 ;1.864,00 ;3.041,32 ;63,16 
;Manitoon Queso 160g;;;33,00 ;6.080,00 ;2.940,00 ;5.024,79 ;70,91 
;manitoon sabor jamon x 70grs;;;30,00 ;2.770,00 ;1.440,00 ;2.289,26 ;58,98 
;Manitoon salame 160g;;;2,00 ;320,00 ;168,00 ;264,46 ;57,42 
;Manitoon salame 70g;;;1,00 ;80,00 ;42,00 ;66,12 ;57,42 
;Manitoon x160g Pizza;;;34,00 ;6.480,00 ;3.060,00 ;5.355,37 ;75,01 
;Manitoon x70g jamon;;;4,00 ;320,00 ;168,00 ;264,46 ;57,42 
;Palitos San Isidrio 150g Panceta;;;134,00 ;14.210,00 ;5.847,60 ;11.743,80 ;100,83 
;papas fritas pehuamar 80gr;;;61,00 ;12.270,00 ;4.918,70 ;10.140,50 ;106,16 
;papas pedrin ketchup  70g;;;21,00 ;4.020,00 ;1.890,00 ;3.322,31 ;75,78 
;Pehuamar maicitos 130g;;;60,00 ;13.520,00 ;6.845,00 ;11.173,55 ;63,24 
;Pep rueditas 40g pizza;;;13,00 ;990,00 ;495,00 ;818,18 ;65,29 
;Rex  75g;;;3,00 ;315,00 ;169,10 ;260,33 ;53,95 
;Saladix Calabresa 100 gr;;;27,00 ;3.980,00 ;1.835,19 ;3.289,26 ;79,23 
;Saladix Duo 80gr;;;8,00 ;1.220,00 ;378,40 ;1.008,26 ;166,45 
;Saladix Jamon 100 g;;;26,00 ;3.725,00 ;1.746,55 ;3.078,51 ;76,26 
;Saladix Parmesano 100 gr;;;5,00 ;725,00 ;339,85 ;599,17 ;76,31 
;Saladix Pizza 100 gr;;;15,00 ;2.120,00 ;709,50 ;1.752,07 ;146,94 
;Snac Arroz dos hermanos sabor jamon 80g;;;1,00 ;100,00 ;50,00 ;82,64 ;65,29 
;snack arroz asado dos hermanos;;;3,00 ;300,00 ;165,00 ;247,93 ;50,26 
;Twistos Jamon 40g;;;31,00 ;3.380,00 ;1.342,34 ;2.793,39 ;108,10 
Total Rubro snack;968,00 ;160.275,00 ;71.646,81 ;132.840,50 ;85,41 ;;;
terrabusi (313);;;;;;;;
;cartabella papel higiénico;;;18,00 ;5.345,00 ;810,00 ;4.417,36 ;445,35 
;club sicial jamon  x25g;;;7,00 ;385,00 ;208,39 ;318,18 ;52,69 
Total Rubro terrabusi;25,00 ;5.730,00 ;1.018,39 ;4.735,54 ;365,00 ;;;
vinos (302);;;;;;;;
;Benjamin Nieto Senetiner- Malbec;;;20,00 ;8.870,00 ;4.078,00 ;7.330,58 ;79,76 
;El Naufrago Malbec 750ml;;;60,00 ;28.860,00 ;13.684,00 ;23.851,24 ;74,30 
;Estancia Mendoza Cabernet/Malbec;;;5,00 ;2.200,00 ;965,00 ;1.818,18 ;88,41 
;Estancia Mendoza chenin chardonnay blanco;;;5,00 ;1.875,00 ;935,00 ;1.549,59 ;65,73 
;Eugenio Bustos Malbec;;;6,00 ;3.030,00 ;1.260,00 ;2.504,13 ;98,74 
;Fran Nieto Senetiner malbec;;;9,00 ;4.140,00 ;2.259,00 ;3.421,49 ;51,46 
;frizze blue evolution;;;5,00 ;1.000,00 ;765,00 ;826,45 ;8,03 
;Omnium Malbec 750cc;;;1,00 ;500,00 ;220,00 ;413,22 ;87,83 
;Otro loco más Malbec;;;62,00 ;32.860,00 ;14.074,00 ;27.157,02 ;92,96 
;Toro Viejo Blanco 700ml;;;6,00 ;1.320,00 ;499,55 ;1.090,91 ;118,38 
;Toro Viejo tinto 700ml;;;7,00 ;1.640,00 ;684,00 ;1.355,37 ;98,15 
;Vino Dilema Blanco Dulce;;;5,00 ;2.550,00 ;865,00 ;2.107,44 ;143,63 
;vino Elementos blancos chardonnay;;;1,00 ;680,00 ;362,00 ;561,98 ;55,24 
;Vino EMILIA Malbec;;;6,00 ;3.300,00 ;1.494,00 ;2.727,27 ;82,55 
;vino finca las moras dulce natural;;;11,00 ;4.350,00 ;2.915,00 ;4.350,00 ;49,23 
;vino novecento malbec;;;10,00 ;2.850,00 ;1.300,10 ;2.355,37 ;81,17 
;vino perro callejero malbec;;;3,00 ;3.090,00 ;1.605,00 ;2.553,72 ;59,11 
;Viñas de Balbo blanco;;;39,00 ;13.060,00 ;6.448,10 ;12.233,89 ;89,73 
;viñas de balbo clasico tinto;;;36,00 ;12.070,00 ;6.330,98 ;11.052,97 ;74,59 
Total Rubro vinos;297,00 ;128.245,00 ;60.743,73 ;109.260,83 ;79,87 ;;;
virtual (1.501);;;;;;;;
;carga virtual;;;38.131,00 ;38.310,00 ;30.504,80 ;31.659,39 ;3,78 
Total Rubro virtual;38.131,00 ;38.310,00 ;30.504,80 ;31.659,39 ;3,78 ;;;
yerba (10);;;;;;;;
;aguantadora;;;4,00 ;1.440,00 ;524,00 ;1.190,08 ;127,12 
;Amanda yerba mate 500grs;;;21,00 ;7.105,00 ;3.437,08 ;5.871,90 ;70,84 
;CBSE hierbas serranas;;;13,00 ;4.030,00 ;665,99 ;3.330,58 ;400,09 
;Cruz de Malta;;;9,00 ;2.880,00 ;1.525,59 ;2.380,17 ;56,02 
;Nobleza Gaucha ecologica 500g;;;5,00 ;1.480,00 ;595,45 ;1.223,14 ;105,41 
;Playadito 500g;;;74,00 ;28.520,00 ;11.428,00 ;23.570,25 ;106,25 
;rosamonte suave;;;6,00 ;2.280,00 ;877,56 ;1.884,30 ;114,72 
;Yerba andresito 500g;;;25,00 ;7.995,00 ;3.953,50 ;6.607,44 ;67,13 
;YERBA CHAMIGO 500;;;9,00 ;1.730,00 ;873,72 ;1.730,00 ;98,00 
;Yerba Mañanita;;;7,00 ;2.940,00 ;1.357,72 ;2.429,75 ;78,96 
;yerba nobleza gaucha suave 500g;;;5,00 ;1.100,00 ;485,45 ;909,09 ;87,27 
;Yerba Rosamonte x 500g;;;6,00 ;2.060,00 ;297,48 ;1.702,48 ;472,30 
;Yerba Taragui 500 g;;;16,00 ;5.275,00 ;2.701,76 ;4.359,50 ;61,36 
;Yerba verde flor Menta 500g;;;2,00 ;540,00 ;294,00 ;446,28 ;51,80 
;Yerba verdeflor boldo 500g;;;1,00 ;270,00 ;147,00 ;223,14 ;51,80 
;Yerba verdeflor hierbas serranas;;;1,00 ;270,00 ;147,00 ;223,14 ;51,80 
Total Rubro yerba;204,00 ;69.915,00 ;29.311,30 ;58.081,24 ;98,15 ;;;
Total ;7.872.560.861,76 ;2.992.137.498,55 ;6.506.296.710,70 ;117,45 ;;;;
Fecha Impresión: 14/09/2022 03:20:36p.m.;Hoja 1 de 1;;;;;;;
